Field ,Field ,Data ,Maximum,Field 
Number,Name,Type,Length,Description
1,area_fips,Text,5,5-character FIPS code
2,own_code,Text,1,1-character ownership code
3,industry_code,Text,6,"6-character industry code (NAICS, SuperSector)"
4,agglvl_code,Text,2,2-character aggregation level code
5,size_code,Text,1,1-character size code
6,year,Text,4,4-character year
7,qtr,Text,1,1-character quarter (always A for annual)
8,disclosure_code,Text,1,1-character disclosure code (either ' '(blank) or 'N' not disclosed)
9,qtrly_estabs,Numeric,8,Count of establishments for a given quarter
10,month1_emplvl,Numeric,9,Employment level for the first month of a given quarter
11,month2_emplvl,Numeric,9,Employment level for the second month of a given quarter
12,month3_emplvl,Numeric,9,Employment level for the third month of a given quarter
13,total_qtrly_wages,Numeric,15,Total wages for a given quarter
14,taxable_qtrly_wages,Numeric,15,Taxable wages for a given quarter
15,qtrly_contributions,Numeric,13,Quarterly contributions for a given quarter
16,avg_wkly_wage,Numeric,8,Average weekly wage for a given quarter
17,lq_disclosure_code,Text,1,1-character location-quotient disclosure code (either ' '(blank) or 'N' not disclosed
18,lq_qtrly_estabs,Numeric,8,Location quotient of the quarterly establishment count relative to the U.S. (Rounded to the hundredths place)
19,lq_month1_emplvl,Numeric,8,Location quotient of the emloyment level for the first month of a given quarter relative to the U.S. (Rounded to the hundredths place)
20,lq_month2_emplvl,Numeric,8,Location quotient of the emloyment level for the second month of a given quarter relative to the U.S. (Rounded to the hundredths place)
21,lq_month3_emplvl,Numeric,8,Location quotient of the emloyment level for the third month of a given quarter relative to the U.S. (Rounded to the hundredths place)
22,lq_total_qtrly_wages,Numeric,8,Location quotient of the total wages for a given quarter relative to the U.S. (Rounded to the hundredths place)
23,lq_taxable_qtrly_wages,Numeric,8,Location quotient of the total taxable wages for a given quarter relative to the U.S. (Rounded to the hundredths place)
24,lq_qtrly_contributions,Numeric,8,Location quotient of the total contributions for a given quarter relative to the U.S. (Rounded to the hundredths place)
25,lq_avg_wkly_wage,Numeric,8,Location quotient of the average weekly wage for a given quarter relative to the U.S. (Rounded to the hundredths place)
26,oty_disclosure_code,Text,1,1-character over-the-year disclosure code (either ' '(blank) or 'N' not disclosed)
27,oty_qtrly_estabs_chg,Numeric,8,Over-the-year change in the count of establishments for a given quarter
28,oty_qtrly_estabs_pct_chg,Numeric,8,Over-the-year percent change in the count of establishments for a given quarter (Rounded to the tenths place)
29,oty_month1_emplvl_chg,Numeric,9,Over-the-year change in the first month's employment level of a given quarter
30,oty_month1_emplvl_pct_chg,Numeric,8,Over-the-year percent change in the first month's employment level of a given quarter (Rounded to the tenths place)
31,oty_month2_emplvl_chg,Numeric,9,Over-the-year change in the second month's employment level of a given quarter
32,oty_month2_emplvl_pct_chg,Numeric,8,Over-the-year percent change in the second month's employment level of a given quarter (Rounded to the tenths place)
33,oty_month3_emplvl_chg,Numeric,9,Over-the-year change in the third month's employment level of a given quarter
34,oty_month3_emplvl_pct_chg,Numeric,8,Over-the-year percent change in the third month's employment level of a given quarter (Rounded to the tenths place)
35,oty_total_qtrly_wages_chg,Numeric,15,Over-the-year change in total quarterly wages for a given quarter
36,oty_total_qtrly_wages_pct_chg,Numeric,8,Over-the-year percent change in total quarterly wages for a given quarter (Rounded to the tenths place)
37,oty_taxable_qtrly_wages_chg,Numeric,15,Over-the-year change in taxable quarterly wages for a given quarter
38,oty_taxable_qtrly_wages_pct_chg,Numeric,8,Over-the-year percent change in taxable quarterly wages for a given quarter (Rounded to the tenths place)
39,oty_qtrly_contributions_chg,Numeric,13,Over-the-year change in quarterly contributions for a given quarter
40,oty_qtrly_contributions_pct_chg,Numeric,8,Over-the-year percent change in quarterly contributions for a given quarter (Rounded to the tenths place)
41,oty_avg_wkly_wage_chg,Numeric,8,Over-the-year change in average weekly wage for a given quarter
42,oty_avg_wkly_wage_pct_chg,Numeric,8,Over-the-year percent change in average weekly wage for a given quarter (Rounded to the tenths place)
