"","State","State.ABBR","X2007.Prescribing.Rate"
"1","Alabama","AL",120.3
"2","Alaska","AK",66.6
"3","Arizona","AZ",77.8
"4","Arkansas","AR",108.2
"5","California","CA",53.6
"6","Colorado","CO",65.9
"7","Connecticut","CT",67.5
"8","Delaware","DE",92.3
"9","District of Columbia","DC",41.2
"10","Florida","FL",82.2
"11","Georgia","GA",82.5
"12","Hawaii","HI",44.5
"13","Idaho","ID",78.8
"14","Illinois","IL",59.2
"15","Indiana","IN",99.7
"16","Iowa","IA",57.1
"17","Kansas","KS",80.6
"18","Kentucky","KY",130.8
"19","Louisiana","LA",110.1
"20","Maine","ME",85.4
"21","Maryland","MD",63.3
"22","Massachusetts","MA",68.2
"23","Michigan","MI",85.6
"24","Minnesota","MN",53.7
"25","Mississippi","MS",109.9
"26","Missouri","MO",84.3
"27","Montana","MT",81.1
"28","Nebraska","NE",65.1
"29","Nevada","NV",90.2
"30","New Hampshire","NH",78.5
"31","New Jersey","NJ",57.2
"32","New Mexico","NM",69
"33","New York","NY",46.1
"34","North Carolina","NC",87.5
"35","North Dakota","ND",59.3
"36","Ohio","OH",92.7
"37","Oklahoma","OK",114.4
"38","Oregon","OR",95.5
"39","Pennsylvania","PA",73.7
"40","Rhode Island","RI",82.2
"41","South Carolina","SC",91.7
"42","South Dakota","SD",49.9
"43","Tennessee","TN",128.8
"44","Texas","TX",71.2
"45","Utah","UT",89.8
"46","Vermont","VT",56
"47","Virginia","VA",70.1
"48","Washington","WA",84.4
"49","West Virginia","WV",135.1
"50","Wisconsin","WI",69.2
"51","Wyoming","WY",80.8
