,State,Year,Sex,Age Group,Race and Hispanic Origin,Deaths,Population,Crude Death Rate,Standard Error for Crude Rate,Lower Confidence Limit for Crude Rate,Upper Confidence Limit for Crude Rate,Age-adjusted Rate,Standard Error for Age-adjusted Rate,Lower Confidence Limit for Age-adjusted Rate,Upper Confidence Limit for Age-adjusted Rate,State Crude Rate in Range,US Crude Rate,US Age-adjusted Rate,Unit,State.ABBR,Prescribing.Rate
0,Alabama,2006,Both Sexes,All Ages,All Races-All Origins,398,4628981,8.597999999999999,0.43098000000000003,7.7533,9.4427,8.7498,0.44161999999999996,7.8842,9.6154,7.1–10.2,11.5373,11.4883,"per 100,000 population",AL,115.6
1,Alabama,2007,Both Sexes,All Ages,All Races-All Origins,511,4672840,10.9355,0.48376,9.9874,11.8837,11.0885,0.49516000000000004,10.118,12.059000000000001,10.3–12.6,11.9543,11.8775,"per 100,000 population",AL,120.3
2,Alabama,2008,Both Sexes,All Ages,All Races-All Origins,607,4718206,12.8651,0.52218,11.8416,13.8885,12.9811,0.53292,11.9366,14.0256,12.6–16,11.9864,11.8947,"per 100,000 population",AL,126.1
3,Alabama,2009,Both Sexes,All Ages,All Races-All Origins,630,4757938,13.241,0.52754,12.2071,14.275,13.6077,0.54855,12.5325,14.6828,12.6–16,12.0624,11.9388,"per 100,000 population",AL,131.6
4,Alabama,2010,Both Sexes,All Ages,All Races-All Origins,547,4779736,11.4441,0.48932,10.4851,12.4032,11.7688,0.50959,10.77,12.7676,10.3–12.6,12.4144,12.2966,"per 100,000 population",AL,134.3
5,Alabama,2011,Both Sexes,All Ages,All Races-All Origins,552,4802740,11.4934,0.48918999999999996,10.5346,12.4523,11.7632,0.50803,10.7674,12.7589,10.3–12.6,13.2674,13.1852,"per 100,000 population",AL,136.6
6,Alabama,2012,Both Sexes,All Ages,All Races-All Origins,562,4822023,11.6549,0.49163,10.6913,12.6185,12.0706,0.51722,11.0569,13.0844,10.3–12.6,13.2208,13.1422,"per 100,000 population",AL,143.8
7,Alabama,2013,Both Sexes,All Ages,All Races-All Origins,598,4833722,12.3714,0.5059,11.3798,13.363,12.7176,0.52933,11.6801,13.7551,12.6–16,13.9127,13.8005,"per 100,000 population",AL,142.4
8,Alabama,2014,Both Sexes,All Ages,All Races-All Origins,723,4849377,14.9091,0.55448,13.8224,15.9959,15.1532,0.57484,14.0265,16.2799,12.6–16,14.7574,14.6831,"per 100,000 population",AL,135.2
9,Alabama,2015,Both Sexes,All Ages,All Races-All Origins,736,4858979,15.1472,0.55833,14.0529,16.2415,15.6639,0.58859,14.5103,16.8176,12.6–16,16.304000000000002,16.2923,"per 100,000 population",AL,125.0
10,Alabama,2016,Both Sexes,All Ages,All Races-All Origins,756,4863300,15.545,0.5653699999999999,14.4369,16.6531,16.2075,0.60241,15.0268,17.3883,16–52,19.6925,19.7851,"per 100,000 population",AL,121.0
